IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
38.59.228.24,49597,443,true,AMS,Europe,Amsterdam,174,4.21
146.70.169.118,443,443,true,AMS,Europe,Amsterdam,461,2.39
146.70.175.177,443,443,true,AMS,Europe,Amsterdam,440,2.03
206.189.102.194,443,443,true,AMS,Europe,Amsterdam,492,1.72
95.164.62.152,443,443,true,AMS,Europe,Amsterdam,435,1.71
147.45.75.8,443,443,true,AMS,Europe,Amsterdam,517,1.58
88.119.171.253,443,443,true,AMS,Europe,Amsterdam,502,1.55
89.110.69.244,443,443,true,AMS,Europe,Amsterdam,567,1.54
146.70.175.114,443,443,true,AMS,Europe,Amsterdam,446,1.54
109.234.34.182,443,443,true,AMS,Europe,Amsterdam,567,1.51
185.39.206.164,443,443,true,AMS,Europe,Amsterdam,564,1.34
212.113.106.225,443,443,true,AMS,Europe,Amsterdam,471,1.32
146.70.175.189,443,443,true,AMS,Europe,Amsterdam,463,1.28
194.36.189.198,443,443,true,AMS,Europe,Amsterdam,563,1.18
192.236.249.88,443,443,true,AMS,Europe,Amsterdam,489,1.17
95.164.62.196,443,443,true,AMS,Europe,Amsterdam,435,1.15
109.234.34.136,443,443,true,AMS,Europe,Amsterdam,570,1.12
89.110.69.166,443,443,true,AMS,Europe,Amsterdam,570,1.12
78.142.230.76,443,443,true,AMS,Europe,Amsterdam,584,1.06
54.170.247.38,443,443,true,AMS,Europe,Amsterdam,483,1.03
80.76.34.121,443,443,true,AMS,Europe,Amsterdam,439,1.02
94.103.9.189,443,443,true,AMS,Europe,Amsterdam,468,0.96
192.236.249.92,443,443,true,AMS,Europe,Amsterdam,493,0.95
45.148.60.11,443,443,true,AMS,Europe,Amsterdam,583,0.92
77.238.245.204,443,443,true,AMS,Europe,Amsterdam,549,0.88
194.5.98.14,443,443,true,AMS,Europe,Amsterdam,564,0.86
188.116.36.68,443,443,true,AMS,Europe,Amsterdam,571,0.82
207.174.30.95,443,443,true,AMS,Europe,Amsterdam,459,0.79
34.154.167.131,443,443,true,FRA,Europe,Frankfurt,493,0.79
213.183.51.219,443,443,true,AMS,Europe,Amsterdam,477,0.66
146.70.175.120,443,443,true,AMS,Europe,Amsterdam,443,0.63
172.205.149.35,8443,443,true,AMS,Europe,Amsterdam,470,0.60
23.254.226.110,443,443,true,AMS,Europe,Amsterdam,497,0.55
77.238.226.46,443,443,true,AMS,Europe,Amsterdam,557,0.53
185.200.119.162,443,443,true,AMS,Europe,Amsterdam,480,0.52
193.123.61.142,8443,443,true,AMS,Europe,Amsterdam,558,0.52
146.70.175.106,443,443,true,AMS,Europe,Amsterdam,453,0.51
89.168.111.93,443,443,true,FRA,Europe,Frankfurt,554,0.51
51.20.185.111,443,443,true,AMS,Europe,Amsterdam,521,0.48
141.11.246.29,443,443,true,AMS,Europe,Amsterdam,528,0.47
195.133.79.154,443,443,true,AMS,Europe,Amsterdam,560,0.46
80.76.34.13,443,443,true,AMS,Europe,Amsterdam,435,0.37
45.14.227.14,443,443,true,AMS,Europe,Amsterdam,461,0.37
146.70.175.100,443,443,true,AMS,Europe,Amsterdam,455,0.37
77.238.243.49,443,443,true,AMS,Europe,Amsterdam,564,0.35
146.70.175.124,443,443,true,AMS,Europe,Amsterdam,449,0.32
146.70.175.115,443,443,true,AMS,Europe,Amsterdam,443,0.32
46.151.28.100,443,443,true,AMS,Europe,Amsterdam,558,0.29
146.70.175.116,443,443,true,AMS,Europe,Amsterdam,477,0.28
212.192.9.26,443,443,true,AMS,Europe,Amsterdam,563,0.28
146.70.175.119,443,443,true,AMS,Europe,Amsterdam,439,0.27
146.70.175.126,443,443,true,AMS,Europe,Amsterdam,474,0.26
