IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.240.254.247,8443,443,true,ARN,Europe,Stockholm,510,2.84
13.53.54.176,8080,443,true,ARN,Europe,Stockholm,446,1.98
147.45.73.218,443,443,true,ARN,Europe,Stockholm,748,1.78
13.51.196.0,8080,443,true,ARN,Europe,Stockholm,454,1.58
16.170.231.188,8443,443,true,ARN,Europe,Stockholm,443,1.50
13.48.245.19,443,443,true,ARN,Europe,Stockholm,457,1.06
13.48.6.26,8080,443,true,ARN,Europe,Stockholm,484,0.80
20.240.254.247,2053,443,true,ARN,Europe,Stockholm,517,0.79
51.20.55.209,8080,443,true,ARN,Europe,Stockholm,501,0.68
185.96.163.110,443,443,true,ARN,Europe,Stockholm,464,0.63
51.20.124.236,443,443,true,ARN,Europe,Stockholm,514,0.61
217.196.106.76,443,443,true,ARN,Europe,Stockholm,480,0.57
45.82.80.92,443,443,true,ARN,Europe,Stockholm,270,0.51
77.91.70.65,443,443,true,ARN,Europe,Stockholm,506,0.47
51.20.94.116,8080,443,true,ARN,Europe,Stockholm,455,0.25
51.20.197.83,443,443,true,ARN,Europe,Stockholm,479,0.25
46.32.184.159,443,443,true,ARN,Europe,Stockholm,490,0.17
77.73.71.196,443,443,true,WAW,Europe,Warsaw,494,0.15
51.21.48.77,443,443,true,ARN,Europe,Stockholm,448,0.12
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,573,0.11
95.164.8.31,443,443,true,ARN,Europe,Stockholm,605,0.07
158.179.207.182,8443,443,true,ARN,Europe,Stockholm,581,0.07
51.20.109.213,8443,443,true,ARN,Europe,Stockholm,495,0.07
16.171.20.42,8080,443,true,ARN,Europe,Stockholm,513,0.05
16.171.28.122,8080,443,true,ARN,Europe,Stockholm,517,0.04
13.53.132.96,8080,443,true,ARN,Europe,Stockholm,516,0.04
46.36.223.141,443,443,true,ARN,Europe,Stockholm,536,0.02
159.253.23.238,443,443,true,ARN,Europe,Stockholm,495,0.01
158.179.206.143,443,443,true,ARN,Europe,Stockholm,577,0.00
35.228.168.221,443,443,true,ARN,Europe,Stockholm,608,0.00
178.73.220.132,443,443,true,ARN,Europe,Stockholm,450,0.00
