IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.200.202.118,80,80,false,BOM,Asia Pacific,Mumbai,453,3.62
35.200.202.118,443,443,true,BOM,Asia Pacific,Mumbai,452,1.34
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,572,1.04
20.47.95.148,8443,443,true,BOM,Asia Pacific,Mumbai,347,0.38
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,477,0.15
20.174.66.131,8443,443,true,BOM,Asia Pacific,Mumbai,346,0.15
20.233.254.155,8443,443,true,BOM,Asia Pacific,Mumbai,337,0.07
20.233.254.155,2053,443,true,BOM,Asia Pacific,Mumbai,329,0.06
20.174.66.131,2053,443,true,BOM,Asia Pacific,Mumbai,329,0.04
20.204.43.57,80,443,false,BOM,Asia Pacific,Mumbai,263,0.01
52.172.55.7,80,80,false,BOM,Asia Pacific,Mumbai,249,0.00
98.70.26.236,443,443,true,BOM,Asia Pacific,Mumbai,276,0.00
20.235.105.146,443,443,true,BOM,Asia Pacific,Mumbai,269,0.00
122.200.19.100,443,443,true,BOM,Asia Pacific,Mumbai,308,0.00
20.204.147.101,443,443,true,BOM,Asia Pacific,Mumbai,263,0.00
35.200.154.186,443,443,true,BOM,Asia Pacific,Mumbai,604,0.00
