IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
107.172.62.49,25950,443,true,BUF,North America,Buffalo,502,3.02
172.245.111.143,449,443,true,BUF,North America,Buffalo,535,1.67
172.245.55.11,13817,443,true,BUF,North America,Buffalo,519,1.34
192.227.227.87,2053,443,true,YYZ,North America,Toronto,484,1.19
107.172.62.49,27013,443,true,YYZ,North America,Toronto,518,0.79
107.172.46.251,57420,443,true,BUF,North America,Buffalo,506,0.35
107.173.250.62,443,443,true,YYZ,North America,Toronto,518,0.34
23.94.26.236,35197,443,true,YYZ,North America,Toronto,545,0.33
198.12.123.64,443,443,true,YYZ,North America,Toronto,522,0.19
192.210.170.23,34237,2096,true,BUF,North America,Buffalo,506,0.10
192.210.243.216,8443,443,true,BUF,North America,Buffalo,569,0.06
107.172.63.101,34237,2096,true,BUF,North America,Buffalo,517,0.05
107.175.35.20,52290,443,true,BUF,North America,Buffalo,514,0.05
107.175.2.53,443,443,true,BUF,North America,Buffalo,503,0.03
192.227.227.87,8443,443,true,BUF,North America,Buffalo,504,0.02
172.245.107.99,45203,443,true,YYZ,North America,Toronto,540,0.01
192.210.243.216,2053,443,true,YYZ,North America,Toronto,559,0.01
107.172.62.49,25953,443,true,BUF,North America,Buffalo,496,0.00
108.174.61.161,59581,443,true,YYZ,North America,Toronto,556,0.00
