IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
15.236.98.18,2083,443,true,CDG,Europe,Paris,402,2.97
34.34.186.205,443,443,true,CDG,Europe,Paris,583,2.89
20.199.40.76,2087,443,true,CDG,Europe,Paris,464,2.52
34.163.89.60,2053,443,true,CDG,Europe,Paris,583,1.80
52.143.135.67,2053,443,true,CDG,Europe,Paris,475,1.56
52.143.190.174,2053,443,true,CDG,Europe,Paris,449,1.28
40.66.63.160,80,80,false,CDG,Europe,Paris,454,1.27
52.143.135.67,8443,443,true,CDG,Europe,Paris,465,1.10
52.143.190.174,8443,443,true,CDG,Europe,Paris,453,0.92
45.86.228.104,443,443,true,CDG,Europe,Paris,522,0.71
34.163.89.60,8443,443,true,CDG,Europe,Paris,582,0.66
51.44.25.198,8443,443,true,CDG,Europe,Paris,474,0.55
193.176.153.148,443,443,true,CDG,Europe,Paris,571,0.48
13.36.114.136,2083,443,true,CDG,Europe,Paris,416,0.39
193.176.158.51,443,443,true,CDG,Europe,Paris,547,0.36
193.187.175.136,443,443,true,CDG,Europe,Paris,551,0.35
193.123.93.103,8443,443,true,CDG,Europe,Paris,531,0.30
13.36.64.125,8443,443,true,CDG,Europe,Paris,456,0.24
35.190.203.200,443,443,true,CDG,Europe,Paris,595,0.17
89.168.52.251,8443,443,true,CDG,Europe,Paris,531,0.14
89.168.43.31,8443,443,true,CDG,Europe,Paris,571,0.14
15.237.196.154,2053,443,true,CDG,Europe,Paris,432,0.13
15.237.196.154,8443,443,true,CDG,Europe,Paris,424,0.11
185.244.210.16,443,443,true,CDG,Europe,Paris,547,0.09
158.178.206.197,8443,443,true,CDG,Europe,Paris,573,0.08
20.74.50.78,443,80,false,CDG,Europe,Paris,458,0.02
158.178.206.197,2053,443,true,CDG,Europe,Paris,582,0.00
193.242.145.146,2052,2052,false,CDG,Europe,Paris,544,0.00
