IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
216.238.71.107,443,443,true,DFW,North America,Dallas,489,3.21
107.175.91.114,21269,443,true,DFW,North America,Dallas,482,1.94
192.3.235.89,80,80,false,DFW,North America,Dallas,469,1.51
198.46.193.167,80,80,false,DFW,North America,Dallas,432,0.66
199.180.255.223,443,443,true,DFW,North America,Dallas,476,0.65
107.175.127.96,37595,443,true,DFW,North America,Dallas,473,0.44
23.94.0.119,34237,2096,true,DFW,North America,Dallas,500,0.40
172.245.56.89,15365,443,true,DFW,North America,Dallas,469,0.38
107.174.225.21,58938,443,true,DFW,North America,Dallas,474,0.31
107.174.228.38,23234,443,true,DFW,North America,Dallas,466,0.25
192.3.161.188,7676,443,true,DFW,North America,Dallas,467,0.14
147.78.1.162,443,443,true,DFW,North America,Dallas,515,0.12
198.46.211.254,34237,2096,true,DFW,North America,Dallas,483,0.12
52.165.82.62,443,443,true,ORD,North America,Chicago,489,0.09
192.237.192.175,443,443,true,DFW,North America,Dallas,447,0.04
158.23.240.142,443,443,true,DFW,North America,Dallas,501,0.00
