IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
52.49.41.80,2053,443,true,DUB,Europe,Dublin,495,2.17
3.252.142.72,2083,443,true,DUB,Europe,Dublin,495,2.13
54.194.162.247,80,80,false,DUB,Europe,Dublin,471,1.83
54.74.164.212,2053,443,true,DUB,Europe,Dublin,484,1.33
54.217.49.200,443,443,true,DUB,Europe,Dublin,451,0.94
54.216.71.162,2053,443,true,DUB,Europe,Dublin,424,0.89
3.252.77.56,2087,443,true,DUB,Europe,Dublin,472,0.85
54.77.191.241,443,443,true,DUB,Europe,Dublin,495,0.82
99.80.70.151,2053,443,true,DUB,Europe,Dublin,490,0.67
54.216.40.130,8443,443,true,DUB,Europe,Dublin,483,0.65
54.76.99.0,443,443,true,DUB,Europe,Dublin,492,0.64
52.214.238.175,8443,443,true,DUB,Europe,Dublin,475,0.56
54.194.162.247,443,443,true,DUB,Europe,Dublin,486,0.37
54.246.24.24,8443,443,true,DUB,Europe,Dublin,432,0.18
3.252.77.56,2096,443,true,DUB,Europe,Dublin,498,0.18
54.246.24.24,2053,443,true,DUB,Europe,Dublin,454,0.11
40.113.60.248,8443,443,true,DUB,Europe,Dublin,473,0.03
52.209.63.185,80,443,true,DUB,Europe,Dublin,502,0.00
54.76.77.67,443,443,true,DUB,Europe,Dublin,502,0.00
52.209.63.185,443,443,true,DUB,Europe,Dublin,471,0.00
99.80.88.225,443,443,true,DUB,Europe,Dublin,488,0.00
52.213.230.124,443,443,true,DUB,Europe,Dublin,490,0.00
54.247.36.82,443,443,true,DUB,Europe,Dublin,468,0.00
54.74.189.161,443,443,true,DUB,Europe,Dublin,458,0.00
54.217.29.4,443,443,true,DUB,Europe,Dublin,454,0.00
54.171.140.198,80,443,true,DUB,Europe,Dublin,491,0.00
54.171.140.198,443,443,true,DUB,Europe,Dublin,501,0.00
