IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
38.59.228.24,57773,443,true,FRA,Europe,Frankfurt,361,5.44
3.68.149.251,8443,443,true,FRA,Europe,Frankfurt,449,4.92
18.199.16.162,2053,443,true,FRA,Europe,Frankfurt,410,3.38
46.101.97.145,443,443,true,FRA,Europe,Frankfurt,476,1.89
18.185.51.67,8080,443,true,FRA,Europe,Frankfurt,449,1.82
209.38.240.115,443,443,true,FRA,Europe,Frankfurt,476,1.67
18.153.62.206,2053,443,true,FRA,Europe,Frankfurt,425,1.66
35.246.156.11,443,443,true,FRA,Europe,Frankfurt,525,1.61
158.178.147.56,443,443,true,FRA,Europe,Frankfurt,566,1.45
34.159.182.203,443,443,true,FRA,Europe,Frankfurt,514,1.43
3.71.165.64,8443,443,true,FRA,Europe,Frankfurt,424,1.38
158.180.27.226,443,443,true,FRA,Europe,Frankfurt,561,1.37
185.103.253.35,443,443,true,FRA,Europe,Frankfurt,493,1.33
35.246.234.120,443,443,true,FRA,Europe,Frankfurt,518,1.28
80.76.32.97,443,443,true,FRA,Europe,Frankfurt,461,1.28
8.209.89.253,443,443,true,FRA,Europe,Frankfurt,645,1.27
193.123.35.114,443,443,true,FRA,Europe,Frankfurt,564,1.20
3.127.200.253,443,443,true,FRA,Europe,Frankfurt,412,1.18
34.91.197.189,443,443,true,FRA,Europe,Frankfurt,543,1.18
47.91.86.9,443,443,true,FRA,Europe,Frankfurt,649,1.18
34.159.211.237,443,443,true,FRA,Europe,Frankfurt,505,1.12
176.97.75.90,443,443,true,FRA,Europe,Frankfurt,491,1.12
157.245.27.205,443,443,true,FRA,Europe,Frankfurt,484,1.09
46.19.99.68,443,443,true,FRA,Europe,Frankfurt,731,1.09
20.52.162.197,8080,443,true,FRA,Europe,Frankfurt,466,1.07
67.207.73.198,443,443,true,FRA,Europe,Frankfurt,481,1.04
34.154.171.109,443,443,true,FRA,Europe,Frankfurt,541,1.03
193.123.59.66,443,443,true,FRA,Europe,Frankfurt,564,0.97
45.147.50.154,443,443,true,FRA,Europe,Frankfurt,587,0.94
91.192.102.55,443,443,true,FRA,Europe,Frankfurt,526,0.90
176.10.97.93,443,443,true,FRA,Europe,Frankfurt,523,0.85
34.116.193.92,443,443,true,FRA,Europe,Frankfurt,562,0.83
91.192.102.92,443,443,true,FRA,Europe,Frankfurt,525,0.79
18.185.91.141,2083,443,true,FRA,Europe,Frankfurt,422,0.79
3.66.67.78,2053,443,true,FRA,Europe,Frankfurt,412,0.78
3.70.241.189,2096,443,true,FRA,Europe,Frankfurt,511,0.76
193.123.59.186,443,443,true,FRA,Europe,Frankfurt,557,0.74
193.122.56.178,443,443,true,FRA,Europe,Frankfurt,563,0.74
79.72.68.5,443,443,true,FRA,Europe,Frankfurt,558,0.68
35.246.168.59,8443,443,true,FRA,Europe,Frankfurt,561,0.67
52.29.224.33,443,443,true,FRA,Europe,Frankfurt,393,0.57
3.66.67.78,8443,443,true,FRA,Europe,Frankfurt,389,0.56
84.235.163.67,443,443,true,FRA,Europe,Frankfurt,577,0.56
138.197.183.219,443,443,true,FRA,Europe,Frankfurt,487,0.55
91.239.148.126,443,443,true,FRA,Europe,Frankfurt,513,0.53
143.42.17.72,443,443,true,FRA,Europe,Frankfurt,551,0.52
158.180.36.110,443,443,true,FRA,Europe,Frankfurt,554,0.51
34.107.6.24,443,443,true,FRA,Europe,Frankfurt,517,0.51
18.184.10.228,8443,443,true,FRA,Europe,Frankfurt,409,0.49
130.162.163.183,443,443,true,FRA,Europe,Frankfurt,565,0.49
79.72.91.74,443,443,true,FRA,Europe,Frankfurt,559,0.47
185.250.248.13,443,443,true,FRA,Europe,Frankfurt,411,0.47
217.79.183.50,443,443,true,FRA,Europe,Frankfurt,468,0.46
3.65.42.231,8080,443,true,FRA,Europe,Frankfurt,410,0.46
34.154.40.97,443,443,true,FRA,Europe,Frankfurt,501,0.45
195.201.135.208,443,443,true,FRA,Europe,Frankfurt,556,0.45
34.91.170.115,443,443,true,FRA,Europe,Frankfurt,526,0.42
34.91.64.141,443,443,true,FRA,Europe,Frankfurt,507,0.41
141.148.236.150,443,443,true,FRA,Europe,Frankfurt,575,0.39
34.154.252.224,443,443,true,FRA,Europe,Frankfurt,551,0.38
34.159.43.100,443,443,true,FRA,Europe,Frankfurt,507,0.38
34.154.97.242,443,443,true,FRA,Europe,Frankfurt,522,0.37
91.239.148.53,443,443,true,FRA,Europe,Frankfurt,489,0.36
18.197.218.69,443,443,true,FRA,Europe,Frankfurt,400,0.36
45.147.51.230,443,443,true,FRA,Europe,Frankfurt,595,0.31
18.199.121.55,443,443,true,FRA,Europe,Frankfurt,442,0.30
34.89.248.119,443,443,true,FRA,Europe,Frankfurt,509,0.30
18.184.10.228,2087,443,true,FRA,Europe,Frankfurt,380,0.28
3.67.67.241,2096,443,true,FRA,Europe,Frankfurt,440,0.26
158.180.57.243,443,443,true,FRA,Europe,Frankfurt,549,0.26
34.90.6.65,443,443,true,FRA,Europe,Frankfurt,455,0.25
34.118.14.243,443,443,true,FRA,Europe,Frankfurt,554,0.25
3.79.68.96,8443,443,true,FRA,Europe,Frankfurt,390,0.24
34.89.158.132,443,443,true,FRA,Europe,Frankfurt,441,0.24
34.90.110.95,443,443,true,FRA,Europe,Frankfurt,548,0.23
35.234.109.216,443,443,true,FRA,Europe,Frankfurt,449,0.22
91.239.148.10,443,443,true,FRA,Europe,Frankfurt,517,0.21
34.154.92.40,443,443,true,FRA,Europe,Frankfurt,473,0.20
168.119.231.164,443,443,true,FRA,Europe,Frankfurt,564,0.20
139.59.206.9,443,443,true,FRA,Europe,Frankfurt,493,0.19
34.107.92.70,443,443,true,FRA,Europe,Frankfurt,448,0.18
3.121.214.134,8443,443,true,FRA,Europe,Frankfurt,420,0.17
45.144.233.107,443,443,true,FRA,Europe,Frankfurt,579,0.17
34.141.44.37,443,443,true,FRA,Europe,Frankfurt,507,0.17
34.154.113.92,443,443,true,FRA,Europe,Frankfurt,542,0.17
34.32.202.224,443,443,true,FRA,Europe,Frankfurt,464,0.16
18.199.143.75,2053,443,true,FRA,Europe,Frankfurt,434,0.14
3.68.149.251,2053,443,true,FRA,Europe,Frankfurt,447,0.14
193.42.62.191,443,443,true,FRA,Europe,Frankfurt,472,0.14
34.154.158.75,443,443,true,FRA,Europe,Frankfurt,525,0.14
45.144.233.115,443,443,true,FRA,Europe,Frankfurt,572,0.12
