IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
194.87.122.158,443,0,true,HEL,Europe,Helsinki,605,2.23
217.28.129.2,443,0,true,HEL,Europe,Helsinki,297,1.85
166.1.157.124,443,443,true,HEL,Europe,Helsinki,608,1.48
45.82.80.96,443,443,true,HEL,Europe,Helsinki,527,1.38
65.109.161.210,443,443,true,HEL,Europe,Helsinki,608,0.67
217.28.129.239,443,443,true,HEL,Europe,Helsinki,300,0.33
5.181.20.135,443,443,true,HEL,Europe,Helsinki,576,0.09
185.58.207.12,443,0,true,HEL,Europe,Helsinki,466,0.04
185.247.141.10,443,0,true,HEL,Europe,Helsinki,578,0.03
94.131.15.113,443,443,true,HEL,Europe,Helsinki,613,0.03
185.188.181.15,443,443,true,HEL,Europe,Helsinki,491,0.03
45.144.234.149,443,443,true,HEL,Europe,Helsinki,565,0.02
195.66.87.245,443,0,true,HEL,Europe,Helsinki,462,0.02
193.109.84.39,443,443,true,HEL,Europe,Helsinki,507,0.01
141.98.169.42,443,443,true,HEL,Europe,Helsinki,537,0.01
185.102.136.39,443,443,true,HEL,Europe,Helsinki,433,0.01
185.94.167.108,443,443,true,HEL,Europe,Helsinki,510,0.01
95.216.168.249,443,0,true,HEL,Europe,Helsinki,599,0.00
