IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.145.40,8080,8080,false,HKG,Asia Pacific,Hong Kong,96,3.71
8.217.250.222,8080,8080,false,HKG,Asia Pacific,Hong Kong,90,2.90
47.243.60.150,80,80,false,HKG,Asia Pacific,Hong Kong,37,2.90
47.243.86.79,2087,2087,true,HKG,Asia Pacific,Hong Kong,46,2.73
8.217.164.10,8880,8880,false,HKG,Asia Pacific,Hong Kong,84,2.72
8.210.66.190,8880,8880,false,HKG,Asia Pacific,Hong Kong,48,2.67
8.218.136.25,8880,8880,false,HKG,Asia Pacific,Hong Kong,51,2.65
8.217.251.62,2095,2095,false,HKG,Asia Pacific,Hong Kong,85,2.60
47.242.125.241,8443,8443,true,HKG,Asia Pacific,Hong Kong,45,2.50
8.218.181.189,8880,8880,false,HKG,Asia Pacific,Hong Kong,87,2.45
8.210.245.224,2082,2082,false,HKG,Asia Pacific,Hong Kong,90,2.37
8.210.100.23,2082,2082,false,HKG,Asia Pacific,Hong Kong,89,2.28
47.243.234.9,2087,2087,true,HKG,Asia Pacific,Hong Kong,51,2.14
47.243.234.9,2082,2082,false,HKG,Asia Pacific,Hong Kong,48,2.11
47.242.59.216,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,2.06
47.76.32.108,2086,2086,false,HKG,Asia Pacific,Hong Kong,95,2.04
8.210.43.213,2053,2053,true,HKG,Asia Pacific,Hong Kong,85,2.04
8.210.55.134,2086,2086,false,HKG,Asia Pacific,Hong Kong,83,2.02
47.76.33.40,2086,2086,false,HKG,Asia Pacific,Hong Kong,87,2.01
47.243.206.150,8880,8880,false,HKG,Asia Pacific,Hong Kong,101,1.92
47.243.139.243,2086,2086,false,HKG,Asia Pacific,Hong Kong,50,1.88
47.242.42.153,2087,2087,true,HKG,Asia Pacific,Hong Kong,86,1.87
8.218.53.110,80,80,false,HKG,Asia Pacific,Hong Kong,45,1.85
47.243.60.150,2082,2082,false,HKG,Asia Pacific,Hong Kong,89,1.81
8.210.34.188,8080,8080,false,HKG,Asia Pacific,Hong Kong,50,1.80
8.210.207.214,2083,2083,true,HKG,Asia Pacific,Hong Kong,81,1.80
8.210.9.129,8080,8080,false,HKG,Asia Pacific,Hong Kong,49,1.80
8.210.101.157,8880,8880,false,HKG,Asia Pacific,Hong Kong,98,1.77
47.242.36.78,2082,2082,false,HKG,Asia Pacific,Hong Kong,48,1.77
47.243.173.187,8880,8880,false,HKG,Asia Pacific,Hong Kong,101,1.77
8.218.188.129,8880,8880,false,HKG,Asia Pacific,Hong Kong,96,1.76
8.210.66.190,2096,2096,true,HKG,Asia Pacific,Hong Kong,43,1.75
8.217.72.0,2083,2083,true,HKG,Asia Pacific,Hong Kong,95,1.75
47.243.255.224,2053,2053,true,HKG,Asia Pacific,Hong Kong,97,1.75
47.243.139.243,2082,2082,false,HKG,Asia Pacific,Hong Kong,45,1.75
47.242.202.230,2083,2083,true,HKG,Asia Pacific,Hong Kong,44,1.74
47.243.107.148,2096,2096,true,HKG,Asia Pacific,Hong Kong,86,1.73
8.218.1.163,8443,8443,true,HKG,Asia Pacific,Hong Kong,89,1.70
8.210.66.190,8080,8080,false,HKG,Asia Pacific,Hong Kong,50,1.66
47.243.42.219,8443,8443,true,HKG,Asia Pacific,Hong Kong,89,1.65
47.243.107.148,2083,2083,true,HKG,Asia Pacific,Hong Kong,82,1.65
8.218.53.110,2053,2053,true,HKG,Asia Pacific,Hong Kong,77,1.64
47.243.183.127,2082,2082,false,HKG,Asia Pacific,Hong Kong,41,1.62
47.243.206.150,2095,2095,false,HKG,Asia Pacific,Hong Kong,92,1.61
47.238.131.39,2096,2096,true,HKG,Asia Pacific,Hong Kong,83,1.61
47.238.40.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,96,1.60
8.217.164.10,2087,2087,true,HKG,Asia Pacific,Hong Kong,45,1.59
8.218.1.163,2096,2096,true,HKG,Asia Pacific,Hong Kong,87,1.59
47.243.42.219,2083,2083,true,HKG,Asia Pacific,Hong Kong,90,1.59
47.242.155.183,2082,2082,false,HKG,Asia Pacific,Hong Kong,81,1.57
47.243.42.219,8880,8880,false,HKG,Asia Pacific,Hong Kong,80,1.56
8.217.248.220,80,80,false,HKG,Asia Pacific,Hong Kong,49,1.56
8.218.204.128,2086,2086,false,HKG,Asia Pacific,Hong Kong,45,1.55
8.210.156.6,8880,8880,false,HKG,Asia Pacific,Hong Kong,49,1.54
47.243.42.155,80,80,false,HKG,Asia Pacific,Hong Kong,42,1.54
8.210.245.224,2095,2095,false,HKG,Asia Pacific,Hong Kong,100,1.53
8.217.232.246,80,80,false,HKG,Asia Pacific,Hong Kong,99,1.53
8.218.142.253,8080,8080,false,HKG,Asia Pacific,Hong Kong,92,1.53
47.242.171.94,2087,2087,true,HKG,Asia Pacific,Hong Kong,40,1.52
8.218.53.110,2087,2087,true,HKG,Asia Pacific,Hong Kong,86,1.51
47.238.131.39,2083,2083,true,HKG,Asia Pacific,Hong Kong,81,1.51
8.210.21.65,8880,8880,false,HKG,Asia Pacific,Hong Kong,51,1.49
47.242.119.104,2096,2096,true,HKG,Asia Pacific,Hong Kong,90,1.46
47.243.255.224,8443,8443,true,HKG,Asia Pacific,Hong Kong,107,1.44
47.242.42.153,2053,2053,true,HKG,Asia Pacific,Hong Kong,84,1.44
47.243.60.150,2095,2095,false,HKG,Asia Pacific,Hong Kong,89,1.43
47.243.42.219,2096,2096,true,HKG,Asia Pacific,Hong Kong,45,1.42
47.243.42.155,2096,2096,true,HKG,Asia Pacific,Hong Kong,86,1.41
47.243.255.224,2083,2083,true,HKG,Asia Pacific,Hong Kong,103,1.40
47.243.86.79,2053,2053,true,HKG,Asia Pacific,Hong Kong,42,1.40
8.217.49.34,8080,8080,false,HKG,Asia Pacific,Hong Kong,75,1.39
47.243.206.150,2096,2096,true,HKG,Asia Pacific,Hong Kong,90,1.36
47.242.157.96,2052,2052,false,HKG,Asia Pacific,Hong Kong,111,1.36
8.210.34.188,8443,8443,true,HKG,Asia Pacific,Hong Kong,96,1.35
47.243.139.243,2053,2053,true,HKG,Asia Pacific,Hong Kong,93,1.33
8.218.85.128,8080,8080,false,HKG,Asia Pacific,Hong Kong,104,1.33
8.218.122.55,8880,8880,false,HKG,Asia Pacific,Hong Kong,77,1.33
8.217.164.10,2095,2095,false,HKG,Asia Pacific,Hong Kong,84,1.31
8.218.11.90,2086,2086,false,HKG,Asia Pacific,Hong Kong,87,1.31
47.238.6.102,2086,2086,false,HKG,Asia Pacific,Hong Kong,43,1.30
8.210.146.108,2095,2095,false,HKG,Asia Pacific,Hong Kong,87,1.30
47.243.26.83,8443,8443,true,HKG,Asia Pacific,Hong Kong,85,1.30
47.243.206.150,2087,2087,true,HKG,Asia Pacific,Hong Kong,49,1.30
8.217.49.34,2082,2082,false,HKG,Asia Pacific,Hong Kong,80,1.29
8.217.232.246,2087,2087,true,HKG,Asia Pacific,Hong Kong,94,1.29
47.76.159.146,8443,8443,true,HKG,Asia Pacific,Hong Kong,47,1.28
8.210.9.129,2083,2083,true,HKG,Asia Pacific,Hong Kong,100,1.28
47.243.18.199,2096,2096,true,HKG,Asia Pacific,Hong Kong,92,1.28
47.242.234.127,2083,2083,true,HKG,Asia Pacific,Hong Kong,97,1.27
47.242.202.230,2082,2082,false,HKG,Asia Pacific,Hong Kong,38,1.25
47.242.202.230,2096,2096,true,HKG,Asia Pacific,Hong Kong,93,1.25
8.210.34.188,8880,8880,false,HKG,Asia Pacific,Hong Kong,41,1.25
8.217.250.222,80,80,false,HKG,Asia Pacific,Hong Kong,92,1.25
8.210.55.134,2052,2052,false,HKG,Asia Pacific,Hong Kong,38,1.22
8.210.245.224,2087,2087,true,HKG,Asia Pacific,Hong Kong,86,1.21
8.218.53.110,8080,8080,false,HKG,Asia Pacific,Hong Kong,36,1.21
47.243.42.219,2052,2052,false,HKG,Asia Pacific,Hong Kong,84,1.20
8.217.121.207,2096,2096,true,HKG,Asia Pacific,Hong Kong,90,1.20
47.242.252.237,80,80,false,HKG,Asia Pacific,Hong Kong,56,1.18
47.242.59.216,2086,2086,false,HKG,Asia Pacific,Hong Kong,97,1.18
8.218.243.95,2086,2086,false,HKG,Asia Pacific,Hong Kong,94,1.17
47.243.139.243,8080,8080,false,HKG,Asia Pacific,Hong Kong,48,1.17
8.217.127.73,2083,2083,true,HKG,Asia Pacific,Hong Kong,48,1.16
47.242.59.216,80,80,false,HKG,Asia Pacific,Hong Kong,92,1.16
8.218.53.110,2096,2096,true,HKG,Asia Pacific,Hong Kong,87,1.16
47.242.125.241,2053,2053,true,HKG,Asia Pacific,Hong Kong,88,1.15
47.243.173.187,2083,2083,true,HKG,Asia Pacific,Hong Kong,100,1.14
47.242.79.71,8880,8880,false,HKG,Asia Pacific,Hong Kong,91,1.14
8.217.232.246,2095,2095,false,HKG,Asia Pacific,Hong Kong,94,1.14
47.243.234.9,8080,8080,false,HKG,Asia Pacific,Hong Kong,82,1.13
47.243.86.79,8080,8080,false,HKG,Asia Pacific,Hong Kong,98,1.12
8.210.3.24,2086,2086,false,HKG,Asia Pacific,Hong Kong,78,1.11
47.242.36.78,80,80,false,HKG,Asia Pacific,Hong Kong,91,1.10
8.210.3.24,80,80,false,HKG,Asia Pacific,Hong Kong,38,1.10
47.76.33.40,8880,8880,false,HKG,Asia Pacific,Hong Kong,86,1.10
8.218.3.12,8880,8880,false,HKG,Asia Pacific,Hong Kong,79,1.10
8.210.55.134,2083,2083,true,HKG,Asia Pacific,Hong Kong,84,1.09
8.217.127.73,80,80,false,HKG,Asia Pacific,Hong Kong,85,1.09
47.243.42.155,2083,2083,true,HKG,Asia Pacific,Hong Kong,82,1.08
8.210.107.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,43,1.07
8.210.55.134,80,80,false,HKG,Asia Pacific,Hong Kong,82,1.07
8.210.107.246,2087,2087,true,HKG,Asia Pacific,Hong Kong,90,1.07
8.210.34.188,80,80,false,HKG,Asia Pacific,Hong Kong,94,1.06
8.218.142.253,2095,2095,false,HKG,Asia Pacific,Hong Kong,86,1.06
8.217.127.73,2052,2052,false,HKG,Asia Pacific,Hong Kong,87,1.05
47.243.5.154,8443,8443,true,HKG,Asia Pacific,Hong Kong,84,1.05
47.242.59.216,2095,2095,false,HKG,Asia Pacific,Hong Kong,89,1.04
47.238.6.102,2082,2082,false,HKG,Asia Pacific,Hong Kong,83,1.04
47.243.183.127,2053,2053,true,HKG,Asia Pacific,Hong Kong,100,1.04
8.217.164.10,2052,2052,false,HKG,Asia Pacific,Hong Kong,83,1.02
8.210.174.156,80,80,false,HKG,Asia Pacific,Hong Kong,91,1.02
8.218.122.55,8443,8443,true,HKG,Asia Pacific,Hong Kong,89,1.02
47.242.79.71,2095,2095,false,HKG,Asia Pacific,Hong Kong,94,1.02
47.243.173.187,2087,2087,true,HKG,Asia Pacific,Hong Kong,44,1.02
