IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
4.255.56.137,80,80,false,IAD,North America,Ashburn,588,3.55
75.2.32.4,443,443,true,IAD,North America,Ashburn,239,3.39
20.62.202.159,443,443,true,IAD,North America,Ashburn,588,2.32
99.83.209.185,443,443,true,IAD,North America,Ashburn,240,2.08
172.208.44.21,443,443,true,IAD,North America,Ashburn,537,1.00
150.136.241.40,443,443,true,IAD,North America,Ashburn,516,0.56
158.101.98.60,2095,443,true,IAD,North America,Ashburn,496,0.20
47.253.86.6,443,443,true,IAD,North America,Ashburn,513,0.13
74.235.55.225,80,80,false,IAD,North America,Ashburn,555,0.06
5.161.71.41,443,443,true,IAD,North America,Ashburn,547,0.04
52.234.229.14,80,80,false,IAD,North America,Ashburn,551,0.00
13.90.228.67,80,80,false,IAD,North America,Ashburn,492,0.00
13.90.241.128,80,80,false,IAD,North America,Ashburn,489,0.00
13.90.247.162,80,80,false,IAD,North America,Ashburn,490,0.00
13.68.186.91,443,443,true,IAD,North America,Ashburn,483,0.00
18.211.101.20,443,443,true,IAD,North America,Ashburn,506,0.00
18.235.208.126,443,443,true,IAD,North America,Ashburn,499,0.00
13.90.241.12,80,80,false,IAD,North America,Ashburn,481,0.00
13.90.247.73,80,80,false,IAD,North America,Ashburn,478,0.00
52.234.255.241,80,80,false,IAD,North America,Ashburn,530,0.00
40.71.73.40,80,80,false,IAD,North America,Ashburn,294,0.00
40.71.73.14,80,80,false,IAD,North America,Ashburn,278,0.00
20.119.73.200,80,80,false,IAD,North America,Ashburn,566,0.00
67.226.220.10,443,443,true,IAD,North America,Ashburn,492,0.00
34.194.76.43,443,443,true,IAD,North America,Ashburn,522,0.00
3.235.98.66,443,443,true,IAD,North America,Ashburn,514,0.00
40.71.57.237,80,0,false,IAD,North America,Ashburn,537,0.00
13.90.243.245,80,80,false,IAD,North America,Ashburn,495,0.00
40.71.57.131,80,80,false,IAD,North America,Ashburn,533,0.00
20.246.127.166,443,443,true,IAD,North America,Ashburn,493,0.00
129.159.83.88,8443,443,true,IAD,North America,Ashburn,529,0.00
67.226.221.231,443,443,true,IAD,North America,Ashburn,512,0.00
20.121.115.188,443,443,true,IAD,North America,Ashburn,542,0.00
172.174.249.255,80,80,false,IAD,North America,Ashburn,550,0.00
52.191.14.247,80,80,false,IAD,North America,Ashburn,532,0.00
40.71.57.105,80,80,false,IAD,North America,Ashburn,535,0.00
20.109.23.42,443,443,true,IAD,North America,Ashburn,548,0.00
13.90.240.37,80,80,false,IAD,North America,Ashburn,482,0.00
40.71.57.159,80,80,false,IAD,North America,Ashburn,535,0.00
172.174.249.255,443,443,true,IAD,North America,Ashburn,547,0.00
13.90.226.104,80,80,false,IAD,North America,Ashburn,472,0.00
13.90.243.171,80,80,false,IAD,North America,Ashburn,498,0.00
13.90.241.39,80,80,false,IAD,North America,Ashburn,487,0.00
13.90.226.190,80,80,false,IAD,North America,Ashburn,483,0.00
