IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
161.129.34.56,1092,443,true,ICN,Asia Pacific,Seoul,184,4.75
58.140.88.28,30061,443,true,ICN,Asia Pacific,Seoul,178,4.25
58.76.170.119,30058,443,true,ICN,Asia Pacific,Seoul,184,2.79
210.87.195.58,25503,443,true,ICN,Asia Pacific,Seoul,150,1.47
49.128.218.194,35204,443,true,ICN,Asia Pacific,Seoul,180,1.22
185.214.103.86,57569,443,true,ICN,Asia Pacific,Seoul,80,1.13
210.87.195.136,13949,443,true,ICN,Asia Pacific,Seoul,151,0.65
210.87.195.19,11564,443,true,ICN,Asia Pacific,Seoul,150,0.33
59.187.242.236,11889,443,true,ICN,Asia Pacific,Seoul,131,0.27
59.187.242.236,10653,443,true,ICN,Asia Pacific,Seoul,151,0.26
59.187.242.236,14661,443,true,ICN,Asia Pacific,Seoul,136,0.24
59.187.242.236,15432,443,true,ICN,Asia Pacific,Seoul,175,0.24
59.187.242.236,19948,443,true,ICN,Asia Pacific,Seoul,186,0.21
59.187.242.236,25481,443,true,NRT,Asia Pacific,Tokyo,309,0.20
15.165.121.25,443,443,true,ICN,Asia Pacific,Seoul,176,0.18
59.187.242.236,37986,443,true,ICN,Asia Pacific,Seoul,131,0.17
61.111.251.245,34237,2096,true,NRT,Asia Pacific,Tokyo,158,0.17
59.187.242.236,38574,443,true,ICN,Asia Pacific,Seoul,177,0.14
59.187.242.236,14402,443,true,ICN,Asia Pacific,Seoul,143,0.10
39.126.44.106,36290,443,true,ICN,Asia Pacific,Seoul,114,0.07
