IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.166.125.210,443,443,true,LAX,North America,Los Angeles,375,2.91
2.59.151.192,22115,443,true,LAX,North America,Los Angeles,392,2.86
45.12.88.148,19479,443,true,LAX,North America,Los Angeles,382,2.19
154.21.89.12,12446,443,true,LAX,North America,Los Angeles,365,2.12
202.91.33.131,16084,443,true,LAX,North America,Los Angeles,396,1.99
154.17.25.7,50376,443,true,LAX,North America,Los Angeles,181,1.93
91.149.239.70,443,443,true,LAX,North America,Los Angeles,436,1.93
154.17.25.65,443,443,true,LAX,North America,Los Angeles,187,1.48
207.60.50.167,46652,443,true,LAX,North America,Los Angeles,342,1.35
104.167.247.117,40151,443,true,LAX,North America,Los Angeles,370,1.34
154.17.229.167,443,443,true,LAX,North America,Los Angeles,362,1.31
154.29.144.83,12317,2095,false,LAX,North America,Los Angeles,400,1.25
154.64.225.139,30371,443,true,LAX,North America,Los Angeles,368,1.24
154.17.0.80,564,443,true,LAX,North America,Los Angeles,368,1.20
23.169.184.119,32925,443,true,LAX,North America,Los Angeles,356,1.18
23.94.213.132,27149,443,true,LAX,North America,Los Angeles,414,1.18
23.166.168.99,51056,443,true,LAX,North America,Los Angeles,359,1.17
23.224.81.196,40761,443,true,LAX,North America,Los Angeles,441,1.17
154.17.12.169,443,443,true,LAX,North America,Los Angeles,366,1.17
154.17.224.138,443,443,true,LAX,North America,Los Angeles,361,1.13
154.9.251.214,34237,2096,true,LAX,North America,Los Angeles,399,1.11
2.59.151.85,35666,443,true,LAX,North America,Los Angeles,387,1.06
154.17.230.212,54718,443,true,LAX,North America,Los Angeles,363,1.02
23.224.33.17,11442,443,true,LAX,North America,Los Angeles,409,1.00
154.17.230.128,51888,443,true,LAX,North America,Los Angeles,360,1.00
154.17.229.59,8443,443,true,LAX,North America,Los Angeles,362,0.98
154.17.1.71,4403,443,true,LAX,North America,Los Angeles,383,0.98
154.23.244.100,56529,443,true,LAX,North America,Los Angeles,363,0.96
185.194.148.227,27047,443,true,LAX,North America,Los Angeles,391,0.95
154.17.230.156,44999,443,true,LAX,North America,Los Angeles,362,0.94
154.17.226.32,62096,443,true,LAX,North America,Los Angeles,362,0.92
118.193.77.12,34237,2096,true,LAX,North America,Los Angeles,203,0.87
154.17.231.71,57503,443,true,LAX,North America,Los Angeles,361,0.86
23.169.184.120,26580,443,true,LAX,North America,Los Angeles,359,0.82
185.238.248.71,56918,443,true,LAX,North America,Los Angeles,495,0.82
38.55.61.76,30580,443,true,LAX,North America,Los Angeles,361,0.82
154.9.251.210,34237,2096,true,LAX,North America,Los Angeles,395,0.80
185.183.84.237,14395,443,true,LAX,North America,Los Angeles,383,0.79
154.17.4.180,17288,443,true,LAX,North America,Los Angeles,370,0.78
165.154.36.49,34237,2096,true,LAX,North America,Los Angeles,382,0.75
154.17.225.87,11940,443,true,LAX,North America,Los Angeles,361,0.74
104.167.247.188,8648,443,true,LAX,North America,Los Angeles,372,0.72
23.169.184.155,22582,443,true,LAX,North America,Los Angeles,361,0.72
91.149.239.238,443,443,true,LAX,North America,Los Angeles,428,0.72
154.17.29.48,57372,443,true,LAX,North America,Los Angeles,375,0.71
91.149.239.72,443,443,true,LAX,North America,Los Angeles,448,0.69
107.148.42.163,443,443,true,LAX,North America,Los Angeles,402,0.68
154.17.229.171,12601,443,true,LAX,North America,Los Angeles,360,0.67
165.154.182.118,56332,443,true,LAX,North America,Los Angeles,387,0.63
154.40.57.145,34237,2096,true,LAX,North America,Los Angeles,396,0.62
