IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
38.59.224.166,29320,443,true,LHR,Europe,London,383,3.30
38.59.224.99,4397,443,true,LHR,Europe,London,388,2.95
3.8.212.197,443,443,true,LHR,Europe,London,486,2.78
82.165.7.129,443,443,true,LHR,Europe,London,475,2.63
13.40.119.154,2053,443,true,LHR,Europe,London,463,1.84
52.56.213.90,2087,443,true,LHR,Europe,London,464,1.69
18.171.168.33,443,443,true,LHR,Europe,London,446,1.68
18.133.253.214,8080,443,true,LHR,Europe,London,476,1.56
18.135.107.117,8443,443,true,LHR,Europe,London,481,1.38
154.21.95.34,24080,443,true,LHR,Europe,London,349,1.29
144.21.51.110,443,443,true,LHR,Europe,London,470,1.21
18.130.70.64,2096,443,true,LHR,Europe,London,442,1.12
13.40.220.165,8080,443,true,LHR,Europe,London,469,0.97
3.9.61.105,2053,443,true,LHR,Europe,London,469,0.89
38.180.92.156,443,443,true,LHR,Europe,London,476,0.88
18.130.70.64,2087,443,true,LHR,Europe,London,412,0.78
161.35.33.148,443,443,true,LHR,Europe,London,509,0.77
18.133.134.185,8080,443,true,LHR,Europe,London,485,0.74
132.145.54.84,8443,443,true,LHR,Europe,London,486,0.62
18.171.209.142,8080,443,true,LHR,Europe,London,454,0.60
165.227.231.249,443,443,true,LHR,Europe,London,515,0.58
13.40.119.154,8443,443,true,LHR,Europe,London,466,0.51
5.61.61.148,443,443,true,LHR,Europe,London,488,0.51
37.235.54.135,443,443,true,LHR,Europe,London,564,0.51
18.169.10.212,8080,443,true,LHR,Europe,London,461,0.48
212.38.166.47,443,443,true,LHR,Europe,London,479,0.38
185.87.150.54,443,443,true,LHR,Europe,London,466,0.32
91.231.186.167,443,443,true,LHR,Europe,London,552,0.31
18.132.164.98,443,443,true,LHR,Europe,London,446,0.24
52.56.213.90,2096,443,true,LHR,Europe,London,462,0.23
159.223.244.40,443,443,true,LHR,Europe,London,508,0.18
213.1.145.50,443,443,true,LHR,Europe,London,453,0.17
18.134.9.126,443,443,true,LHR,Europe,London,457,0.15
45.140.167.104,2052,80,false,LHR,Europe,London,486,0.14
18.130.254.28,8080,443,true,LHR,Europe,London,456,0.13
13.41.76.64,8080,443,true,LHR,Europe,London,477,0.10
51.254.6.14,443,443,true,LHR,Europe,London,570,0.08
13.41.182.25,443,443,true,LHR,Europe,London,421,0.06
18.168.151.116,8080,443,true,LHR,Europe,London,457,0.06
18.168.151.36,8080,443,true,LHR,Europe,London,436,0.05
18.133.225.206,8080,443,true,LHR,Europe,London,454,0.03
13.42.36.146,8080,443,true,LHR,Europe,London,432,0.01
132.145.54.84,2053,443,true,LHR,Europe,London,485,0.00
34.142.31.109,443,443,true,LHR,Europe,London,527,0.00
3.9.180.102,80,443,true,LHR,Europe,London,463,0.00
88.202.190.98,443,443,true,LHR,Europe,London,478,0.00
18.169.183.4,80,443,true,LHR,Europe,London,475,0.00
208.87.98.253,443,0,true,LHR,Europe,London,486,0.00
13.40.61.52,80,443,true,LHR,Europe,London,481,0.00
18.135.188.86,443,443,true,LHR,Europe,London,427,0.00
38.59.224.24,38903,443,true,LHR,Europe,London,394,0.00
34.105.189.25,443,443,true,LHR,Europe,London,574,0.00
31.187.70.62,443,443,true,LHR,Europe,London,468,0.00
18.171.147.203,80,443,true,LHR,Europe,London,474,0.00
141.147.74.20,443,443,true,LHR,Europe,London,471,0.00
3.9.223.59,80,443,true,LHR,Europe,London,467,0.00
18.171.158.63,80,443,true,LHR,Europe,London,467,0.00
18.170.37.117,80,443,true,LHR,Europe,London,481,0.00
13.40.61.52,443,443,true,LHR,Europe,London,456,0.00
3.9.223.59,443,443,true,LHR,Europe,London,476,0.00
143.47.243.144,2053,443,true,LHR,Europe,London,478,0.00
18.171.206.250,80,443,true,LHR,Europe,London,409,0.00
34.147.231.33,443,443,true,LHR,Europe,London,533,0.00
35.176.229.223,443,443,true,LHR,Europe,London,441,0.00
34.105.233.161,443,443,true,LHR,Europe,London,577,0.00
18.135.67.188,443,443,true,LHR,Europe,London,446,0.00
35.189.113.240,443,443,true,LHR,Europe,London,558,0.00
35.189.99.124,443,443,true,LHR,Europe,London,553,0.00
18.171.158.63,443,443,true,LHR,Europe,London,458,0.00
13.41.3.20,443,443,true,LHR,Europe,London,483,0.00
13.40.55.44,80,443,true,LHR,Europe,London,454,0.00
35.176.121.161,80,443,true,LHR,Europe,London,480,0.00
13.42.158.50,8443,443,true,LHR,Europe,London,443,0.00
38.59.224.24,37897,443,true,LHR,Europe,London,385,0.00
38.59.224.24,35525,443,true,LHR,Europe,London,391,0.00
38.59.224.24,43509,443,true,LHR,Europe,London,371,0.00
38.59.224.24,32900,443,true,LHR,Europe,London,393,0.00
