IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
103.20.199.88,30002,80,false,NRT,Asia Pacific,Tokyo,169,4.95
193.32.151.18,47682,443,true,NRT,Asia Pacific,Tokyo,226,2.37
43.239.249.177,26213,443,true,NRT,Asia Pacific,Tokyo,244,1.92
103.20.199.101,33004,443,true,NRT,Asia Pacific,Tokyo,174,1.52
185.214.103.3,8443,443,true,NRT,Asia Pacific,Tokyo,155,1.40
8.219.66.156,80,80,false,NRT,Asia Pacific,Tokyo,334,1.38
47.236.125.62,2096,2096,true,NRT,Asia Pacific,Tokyo,464,1.35
8.219.66.156,8080,8080,false,NRT,Asia Pacific,Tokyo,343,1.33
193.32.151.115,443,443,true,NRT,Asia Pacific,Tokyo,224,1.23
45.66.128.148,38892,443,true,NRT,Asia Pacific,Tokyo,175,1.17
47.236.125.62,2082,2082,false,NRT,Asia Pacific,Tokyo,456,1.12
140.238.19.2,443,80,false,NRT,Asia Pacific,Tokyo,169,0.99
45.66.129.222,16538,443,true,NRT,Asia Pacific,Tokyo,181,0.87
59.187.242.236,25559,443,true,ICN,Asia Pacific,Seoul,306,0.83
47.245.33.33,443,443,true,NRT,Asia Pacific,Tokyo,193,0.77
147.78.247.231,50042,443,true,NRT,Asia Pacific,Tokyo,183,0.73
47.236.125.62,2052,2052,false,NRT,Asia Pacific,Tokyo,499,0.69
147.78.246.195,30580,443,true,NRT,Asia Pacific,Tokyo,91,0.68
195.245.242.237,54066,443,true,NRT,Asia Pacific,Tokyo,231,0.56
47.236.125.62,80,80,false,NRT,Asia Pacific,Tokyo,488,0.55
103.117.102.7,45459,443,true,NRT,Asia Pacific,Tokyo,207,0.54
45.143.233.28,36605,443,true,NRT,Asia Pacific,Tokyo,232,0.47
35.200.25.49,2087,443,true,NRT,Asia Pacific,Tokyo,217,0.46
8.219.153.237,8080,8080,false,NRT,Asia Pacific,Tokyo,469,0.45
47.236.125.62,2087,2087,true,NRT,Asia Pacific,Tokyo,456,0.44
103.201.130.137,23363,443,true,NRT,Asia Pacific,Tokyo,240,0.40
59.187.242.236,35087,443,true,ICN,Asia Pacific,Seoul,273,0.40
8.219.153.237,8443,8443,true,NRT,Asia Pacific,Tokyo,468,0.39
140.238.29.117,443,80,false,NRT,Asia Pacific,Tokyo,171,0.34
47.236.125.62,2095,2095,false,NRT,Asia Pacific,Tokyo,444,0.33
8.219.66.156,2087,2087,true,NRT,Asia Pacific,Tokyo,342,0.27
193.32.151.217,33212,443,true,NRT,Asia Pacific,Tokyo,225,0.23
59.187.245.232,14308,443,true,NRT,Asia Pacific,Tokyo,564,0.17
59.187.242.236,10269,443,true,ICN,Asia Pacific,Seoul,301,0.14
103.201.130.137,55556,443,true,NRT,Asia Pacific,Tokyo,242,0.12
59.187.245.232,14755,443,true,NRT,Asia Pacific,Tokyo,569,0.12
45.142.166.55,22387,80,false,NRT,Asia Pacific,Tokyo,231,0.00
8.219.153.237,2053,2053,true,NRT,Asia Pacific,Tokyo,432,0.00
