IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
23.94.136.126,80,443,true,ORD,North America,Chicago,496,3.00
3.15.147.151,2083,443,true,ORD,North America,Chicago,472,2.74
164.152.26.70,2052,443,true,ORD,North America,Chicago,508,2.61
18.216.55.100,80,80,false,ORD,North America,Chicago,476,1.85
206.217.131.121,34237,2096,true,ORD,North America,Chicago,496,1.81
172.245.68.220,17524,443,true,ORD,North America,Chicago,498,1.69
198.46.215.183,50964,443,true,ORD,North America,Chicago,497,1.30
198.46.218.63,27149,443,true,ORD,North America,Chicago,491,1.14
23.94.136.126,8080,443,true,ORD,North America,Chicago,504,1.07
206.217.131.12,21656,443,true,ORD,North America,Chicago,505,0.80
198.46.159.248,36804,443,true,ORD,North America,Chicago,493,0.25
3.23.238.192,80,80,false,ORD,North America,Chicago,477,0.24
172.245.86.209,34237,2096,true,ORD,North America,Chicago,499,0.23
35.226.211.129,443,443,true,ORD,North America,Chicago,507,0.19
3.140.142.249,2053,443,true,ORD,North America,Chicago,471,0.13
34.123.83.237,443,443,true,ORD,North America,Chicago,461,0.10
3.18.225.231,443,443,true,ORD,North America,Chicago,476,0.09
198.144.183.24,443,443,true,ORD,North America,Chicago,503,0.08
3.139.198.114,2053,443,true,ORD,North America,Chicago,493,0.05
108.174.50.200,2083,443,true,ORD,North America,Chicago,507,0.03
18.188.79.30,443,443,true,ORD,North America,Chicago,481,0.00
204.110.223.227,80,443,true,ORD,North America,Chicago,475,0.00
204.110.223.151,80,443,true,ORD,North America,Chicago,468,0.00
67.226.222.100,80,443,true,ORD,North America,Chicago,476,0.00
204.110.223.230,80,443,true,ORD,North America,Chicago,475,0.00
67.226.222.232,80,443,true,ORD,North America,Chicago,472,0.00
204.110.223.162,80,443,true,ORD,North America,Chicago,467,0.00
204.110.223.81,80,443,true,ORD,North America,Chicago,469,0.00
204.110.223.26,80,443,true,ORD,North America,Chicago,477,0.00
18.188.142.34,443,443,true,ORD,North America,Chicago,493,0.00
67.226.222.0,80,443,true,ORD,North America,Chicago,476,0.00
204.110.223.111,80,443,true,ORD,North America,Chicago,460,0.00
204.110.223.36,80,443,true,ORD,North America,Chicago,488,0.00
18.191.122.211,443,443,true,ORD,North America,Chicago,467,0.00
3.138.59.154,443,443,true,ORD,North America,Chicago,500,0.00
204.110.223.27,443,443,true,ORD,North America,Chicago,491,0.00
204.110.223.25,443,443,true,ORD,North America,Chicago,476,0.00
204.110.223.195,443,443,true,ORD,North America,Chicago,478,0.00
204.110.223.36,443,443,true,ORD,North America,Chicago,481,0.00
204.110.223.15,80,443,true,ORD,North America,Chicago,492,0.00
67.226.222.120,80,443,true,ORD,North America,Chicago,487,0.00
3.141.95.66,80,8080,false,ORD,North America,Chicago,469,0.00
67.226.222.190,80,443,true,ORD,North America,Chicago,472,0.00
204.110.223.75,80,443,true,ORD,North America,Chicago,485,0.00
206.217.131.92,26845,443,true,ORD,North America,Chicago,495,0.00
67.226.222.255,80,443,true,ORD,North America,Chicago,473,0.00
204.110.223.195,80,443,true,ORD,North America,Chicago,478,0.00
3.147.73.220,443,443,true,ORD,North America,Chicago,495,0.00
204.110.223.106,443,443,true,ORD,North America,Chicago,466,0.00
204.110.223.127,80,443,true,ORD,North America,Chicago,467,0.00
204.110.223.21,443,443,true,ORD,North America,Chicago,475,0.00
67.226.222.19,80,443,true,ORD,North America,Chicago,484,0.00
67.226.223.121,80,443,true,ORD,North America,Chicago,464,0.00
204.110.223.230,443,443,true,ORD,North America,Chicago,460,0.00
67.226.222.77,80,443,true,ORD,North America,Chicago,457,0.00
67.226.222.2,80,443,true,ORD,North America,Chicago,468,0.00
67.226.222.41,80,443,true,ORD,North America,Chicago,477,0.00
67.226.222.95,80,443,true,ORD,North America,Chicago,472,0.00
204.110.223.21,80,443,true,ORD,North America,Chicago,471,0.00
204.110.223.145,80,443,true,ORD,North America,Chicago,469,0.00
204.110.223.106,80,443,true,ORD,North America,Chicago,467,0.00
67.226.222.2,443,443,true,ORD,North America,Chicago,475,0.00
204.110.223.111,443,443,true,ORD,North America,Chicago,458,0.00
67.226.222.178,80,443,true,ORD,North America,Chicago,470,0.00
