IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
51.141.162.228,80,80,false,SEA,North America,Seattle,421,3.36
156.251.179.27,50048,443,true,SEA,North America,Seattle,100,3.18
34.214.113.200,443,443,true,SEA,North America,Seattle,438,1.80
18.237.176.63,2053,443,true,SEA,North America,Seattle,409,1.80
192.227.231.56,15392,2087,true,SEA,North America,Seattle,437,1.46
23.95.17.156,42842,443,true,SEA,North America,Seattle,423,1.40
44.241.54.108,443,443,true,SEA,North America,Seattle,417,1.33
107.174.244.90,52684,443,true,SEA,North America,Seattle,425,0.61
172.179.181.196,80,80,false,SEA,North America,Seattle,427,0.52
172.179.181.196,443,443,true,SEA,North America,Seattle,434,0.44
45.76.245.127,443,443,true,SEA,North America,Seattle,412,0.37
107.174.247.217,13350,443,true,SEA,North America,Seattle,462,0.32
18.236.77.255,8443,443,true,SEA,North America,Seattle,422,0.27
45.32.228.75,443,443,true,SEA,North America,Seattle,404,0.25
35.247.124.181,443,443,true,SEA,North America,Seattle,421,0.21
35.197.23.75,443,443,true,SEA,North America,Seattle,492,0.19
35.247.124.181,80,80,false,SEA,North America,Seattle,434,0.18
35.230.79.26,443,443,true,SEA,North America,Seattle,452,0.17
192.3.150.56,8000,443,true,SEA,North America,Seattle,433,0.13
34.105.49.234,80,80,false,SEA,North America,Seattle,527,0.12
44.227.209.152,443,443,true,SEA,North America,Seattle,422,0.11
35.83.185.225,443,443,true,SEA,North America,Seattle,423,0.09
23.94.211.70,32531,443,true,SEA,North America,Seattle,410,0.07
54.70.214.119,8443,443,true,SEA,North America,Seattle,404,0.07
172.245.108.226,24059,443,true,SEA,North America,Seattle,409,0.06
23.94.211.237,2053,443,true,SEA,North America,Seattle,423,0.05
107.174.242.151,34561,443,true,SEA,North America,Seattle,418,0.04
23.94.211.237,8443,443,true,SEA,North America,Seattle,419,0.04
54.70.214.119,2053,443,true,SEA,North America,Seattle,392,0.03
18.237.176.63,8443,443,true,SEA,North America,Seattle,416,0.02
52.89.138.13,443,443,true,SEA,North America,Seattle,399,0.00
34.217.119.17,443,443,true,SEA,North America,Seattle,441,0.00
107.174.242.22,54523,443,true,SEA,North America,Seattle,433,0.00
204.110.220.48,80,443,true,SEA,North America,Seattle,398,0.00
204.110.220.214,80,443,true,SEA,North America,Seattle,385,0.00
54.71.144.103,443,443,true,SEA,North America,Seattle,415,0.00
44.227.22.10,443,443,true,SEA,North America,Seattle,423,0.00
204.110.220.218,80,443,true,SEA,North America,Seattle,417,0.00
52.10.78.7,80,443,true,SEA,North America,Seattle,402,0.00
204.110.221.243,80,443,true,SEA,North America,Seattle,431,0.00
204.110.221.187,80,443,true,SEA,North America,Seattle,423,0.00
204.110.220.50,80,443,true,SEA,North America,Seattle,397,0.00
204.110.221.208,80,443,true,SEA,North America,Seattle,422,0.00
50.112.166.63,443,443,true,SEA,North America,Seattle,409,0.00
54.213.214.160,443,443,true,SEA,North America,Seattle,404,0.00
204.110.220.3,80,443,true,SEA,North America,Seattle,402,0.00
204.110.221.244,80,443,true,SEA,North America,Seattle,423,0.00
204.110.221.252,80,443,true,SEA,North America,Seattle,424,0.00
204.110.220.184,80,443,true,SEA,North America,Seattle,407,0.00
204.110.220.12,443,443,true,SEA,North America,Seattle,409,0.00
204.110.221.248,80,443,true,SEA,North America,Seattle,420,0.00
204.110.221.217,80,443,true,SEA,North America,Seattle,429,0.00
204.110.220.230,80,443,true,SEA,North America,Seattle,410,0.00
204.110.220.254,80,443,true,SEA,North America,Seattle,416,0.00
204.110.220.27,80,443,true,SEA,North America,Seattle,417,0.00
52.10.78.7,443,443,true,SEA,North America,Seattle,403,0.00
54.203.85.46,80,443,true,SEA,North America,Seattle,411,0.00
54.71.144.103,80,443,true,SEA,North America,Seattle,418,0.00
44.226.147.29,443,443,true,SEA,North America,Seattle,406,0.00
204.110.220.120,80,443,true,SEA,North America,Seattle,408,0.00
204.110.220.45,80,443,true,SEA,North America,Seattle,405,0.00
204.110.220.3,443,443,true,SEA,North America,Seattle,405,0.00
204.110.220.216,80,443,true,SEA,North America,Seattle,408,0.00
204.110.220.177,80,443,true,SEA,North America,Seattle,397,0.00
204.110.221.44,80,443,true,SEA,North America,Seattle,430,0.00
204.110.221.250,80,443,true,SEA,North America,Seattle,429,0.00
204.110.220.175,443,443,true,SEA,North America,Seattle,400,0.00
204.110.220.175,80,443,true,SEA,North America,Seattle,397,0.00
204.110.220.199,80,443,true,SEA,North America,Seattle,405,0.00
54.203.85.46,443,443,true,SEA,North America,Seattle,415,0.00
204.110.220.229,80,443,true,SEA,North America,Seattle,396,0.00
