IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.95.156,2053,2053,true,SIN,Asia Pacific,Singapore,269,5.69
8.219.122.55,80,80,false,SIN,Asia Pacific,Singapore,249,5.64
47.237.95.140,2095,2095,false,SIN,Asia Pacific,Singapore,132,5.17
8.222.183.242,2096,2096,true,SIN,Asia Pacific,Singapore,133,5.10
8.219.49.65,2053,2053,true,SIN,Asia Pacific,Singapore,124,4.95
8.219.99.169,80,80,false,SIN,Asia Pacific,Singapore,127,4.46
8.219.83.201,2095,2095,false,SIN,Asia Pacific,Singapore,117,4.24
47.236.146.249,2083,2083,true,SIN,Asia Pacific,Singapore,317,4.16
47.237.83.20,2052,2052,false,SIN,Asia Pacific,Singapore,229,3.92
47.236.237.90,8443,8443,true,SIN,Asia Pacific,Singapore,149,3.89
47.236.17.193,80,80,false,SIN,Asia Pacific,Singapore,144,3.85
8.219.77.222,2053,2053,true,SIN,Asia Pacific,Singapore,133,3.74
8.222.165.117,2083,2083,true,SIN,Asia Pacific,Singapore,257,3.61
47.237.95.156,80,80,false,SIN,Asia Pacific,Singapore,228,3.44
47.236.169.141,2052,2052,false,SIN,Asia Pacific,Singapore,152,3.32
47.237.94.140,8880,8880,false,SIN,Asia Pacific,Singapore,135,3.27
8.219.142.191,8880,8880,false,SIN,Asia Pacific,Singapore,288,3.23
8.219.100.168,8080,8080,false,SIN,Asia Pacific,Singapore,244,3.18
47.236.189.92,2096,2096,true,SIN,Asia Pacific,Singapore,350,3.14
47.236.83.239,2082,2082,false,SIN,Asia Pacific,Singapore,159,2.97
47.237.8.82,2095,2095,false,SIN,Asia Pacific,Singapore,231,2.96
8.219.0.162,2053,2053,true,SIN,Asia Pacific,Singapore,260,2.94
47.237.94.140,2083,2083,true,SIN,Asia Pacific,Singapore,134,2.93
47.236.104.11,2086,2086,false,SIN,Asia Pacific,Singapore,276,2.82
8.222.144.50,2083,2083,true,SIN,Asia Pacific,Singapore,135,2.79
8.222.137.192,2095,2095,false,SIN,Asia Pacific,Singapore,128,2.77
8.222.244.192,8080,8080,false,SIN,Asia Pacific,Singapore,137,2.76
8.219.100.168,2053,2053,true,SIN,Asia Pacific,Singapore,246,2.73
8.222.146.222,8080,8080,false,SIN,Asia Pacific,Singapore,205,2.67
8.219.83.201,8880,8880,false,SIN,Asia Pacific,Singapore,250,2.57
47.236.118.216,2087,2087,true,SIN,Asia Pacific,Singapore,319,2.57
8.219.0.162,2095,2095,false,SIN,Asia Pacific,Singapore,127,2.56
8.219.229.190,2095,2095,false,SIN,Asia Pacific,Singapore,175,2.56
8.219.191.40,2082,2082,false,SIN,Asia Pacific,Singapore,288,2.53
47.237.95.146,2095,2095,false,SIN,Asia Pacific,Singapore,135,2.51
8.222.237.131,2083,2083,true,SIN,Asia Pacific,Singapore,104,2.50
8.219.107.135,8880,8880,false,SIN,Asia Pacific,Singapore,129,2.48
47.237.94.140,2082,2082,false,SIN,Asia Pacific,Singapore,121,2.48
8.219.78.188,80,80,false,SIN,Asia Pacific,Singapore,105,2.48
47.236.97.90,80,80,false,SIN,Asia Pacific,Singapore,319,2.46
47.237.95.13,2052,2052,false,SIN,Asia Pacific,Singapore,130,2.44
47.236.145.85,2086,2086,false,SIN,Asia Pacific,Singapore,155,2.38
8.219.50.180,2083,2083,true,SIN,Asia Pacific,Singapore,237,2.37
8.222.214.231,8880,8880,false,SIN,Asia Pacific,Singapore,138,2.33
47.236.205.188,2095,2095,false,SIN,Asia Pacific,Singapore,159,2.30
47.236.104.11,2082,2082,false,SIN,Asia Pacific,Singapore,310,2.29
8.219.199.220,8080,8080,false,SIN,Asia Pacific,Singapore,301,2.26
8.219.193.202,2087,2087,true,SIN,Asia Pacific,Singapore,159,2.22
8.219.191.40,2053,2053,true,SIN,Asia Pacific,Singapore,149,2.20
47.237.94.140,8080,8080,false,SIN,Asia Pacific,Singapore,256,2.15
8.219.42.72,2083,2083,true,SIN,Asia Pacific,Singapore,170,2.09
8.219.1.92,8080,8080,false,SIN,Asia Pacific,Singapore,95,2.06
47.236.144.156,8443,8443,true,SIN,Asia Pacific,Singapore,141,2.05
47.236.205.188,80,80,false,SIN,Asia Pacific,Singapore,359,1.99
8.222.214.231,2087,2087,true,SIN,Asia Pacific,Singapore,253,1.98
8.219.200.145,2082,2082,false,SIN,Asia Pacific,Singapore,309,1.98
47.236.123.133,2095,2095,false,SIN,Asia Pacific,Singapore,157,1.98
8.219.200.145,80,80,false,SIN,Asia Pacific,Singapore,182,1.86
8.219.194.170,2096,2096,true,SIN,Asia Pacific,Singapore,313,1.85
8.219.191.110,2053,2053,true,SIN,Asia Pacific,Singapore,175,1.81
8.219.60.54,8080,8080,false,SIN,Asia Pacific,Singapore,211,1.79
8.222.183.242,8443,8443,true,SIN,Asia Pacific,Singapore,264,1.74
8.219.126.240,8880,8880,false,SIN,Asia Pacific,Singapore,258,1.72
47.237.14.220,2087,2087,true,SIN,Asia Pacific,Singapore,228,1.69
47.236.145.85,8080,8080,false,SIN,Asia Pacific,Singapore,279,1.65
47.236.165.25,2087,2087,true,SIN,Asia Pacific,Singapore,170,1.62
47.236.144.48,2095,2095,false,SIN,Asia Pacific,Singapore,143,1.62
47.237.0.31,8080,8080,false,SIN,Asia Pacific,Singapore,252,1.61
8.219.200.145,2053,2053,true,SIN,Asia Pacific,Singapore,278,1.60
8.219.191.110,2095,2095,false,SIN,Asia Pacific,Singapore,338,1.60
47.237.0.31,2052,2052,false,SIN,Asia Pacific,Singapore,113,1.60
47.236.164.215,8880,8880,false,SIN,Asia Pacific,Singapore,175,1.58
8.219.229.190,2087,2087,true,SIN,Asia Pacific,Singapore,178,1.58
47.236.171.205,2086,2086,false,SIN,Asia Pacific,Singapore,347,1.55
8.219.110.81,2053,2053,true,SIN,Asia Pacific,Singapore,224,1.52
47.236.10.100,8880,8880,false,SIN,Asia Pacific,Singapore,275,1.52
47.236.172.71,2087,2087,true,SIN,Asia Pacific,Singapore,166,1.51
47.236.9.152,8880,8880,false,SIN,Asia Pacific,Singapore,145,1.51
47.236.118.216,2083,2083,true,SIN,Asia Pacific,Singapore,328,1.47
8.219.0.162,8880,8880,false,SIN,Asia Pacific,Singapore,132,1.46
47.237.92.26,2086,2086,false,SIN,Asia Pacific,Singapore,243,1.46
47.236.169.164,2083,2083,true,SIN,Asia Pacific,Singapore,317,1.46
8.219.49.65,2096,2096,true,SIN,Asia Pacific,Singapore,180,1.46
47.236.75.152,2086,2086,false,SIN,Asia Pacific,Singapore,335,1.45
8.219.191.110,8080,8080,false,SIN,Asia Pacific,Singapore,337,1.44
8.219.0.48,8443,8443,true,SIN,Asia Pacific,Singapore,265,1.44
47.237.86.185,2087,2087,true,SIN,Asia Pacific,Singapore,264,1.41
47.236.171.205,2082,2082,false,SIN,Asia Pacific,Singapore,179,1.41
47.237.95.140,2087,2087,true,SIN,Asia Pacific,Singapore,273,1.40
8.219.78.1,80,80,false,SIN,Asia Pacific,Singapore,104,1.39
8.219.200.145,2083,2083,true,SIN,Asia Pacific,Singapore,305,1.37
8.219.174.142,2095,2095,false,SIN,Asia Pacific,Singapore,364,1.36
47.236.80.110,2087,2087,true,SIN,Asia Pacific,Singapore,315,1.36
8.222.183.242,2095,2095,false,SIN,Asia Pacific,Singapore,96,1.35
