IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
37.123.193.228,19220,443,true,SJC,North America,San Jose,381,4.19
43.153.80.208,443,443,true,SJC,North America,San Jose,383,2.52
38.59.243.116,22040,443,true,SJC,North America,San Jose,358,2.05
37.123.193.187,109,443,true,SJC,North America,San Jose,364,2.03
37.123.193.236,19752,443,true,SJC,North America,San Jose,387,1.65
23.94.100.187,34237,2096,true,SJC,North America,San Jose,384,1.60
38.59.249.179,18090,443,true,SJC,North America,San Jose,356,1.56
185.218.7.21,30152,443,true,SJC,North America,San Jose,358,1.39
38.59.246.12,530,443,true,SJC,North America,San Jose,379,1.17
37.123.193.187,149,443,true,SJC,North America,San Jose,368,1.06
38.59.240.180,43215,443,true,SJC,North America,San Jose,353,1.05
192.3.59.191,8443,443,true,SJC,North America,San Jose,379,1.03
38.59.244.77,28555,443,true,SJC,North America,San Jose,367,0.89
38.59.240.180,23176,443,true,SJC,North America,San Jose,353,0.82
103.182.97.12,443,443,true,SJC,North America,San Jose,403,0.71
65.75.194.7,12266,443,true,SJC,North America,San Jose,393,0.68
45.159.208.139,443,443,true,SJC,North America,San Jose,395,0.64
23.94.98.225,30930,443,true,SJC,North America,San Jose,407,0.43
192.9.224.194,443,443,true,SJC,North America,San Jose,385,0.42
37.123.193.178,14867,443,true,SJC,North America,San Jose,361,0.37
65.75.194.66,51246,443,true,SJC,North America,San Jose,372,0.36
37.123.193.187,102,443,true,SJC,North America,San Jose,371,0.35
173.249.197.84,443,443,true,SJC,North America,San Jose,382,0.28
43.153.4.246,443,443,true,SJC,North America,San Jose,380,0.27
65.75.192.67,42930,443,true,SJC,North America,San Jose,405,0.26
54.193.48.13,443,443,true,SJC,North America,San Jose,400,0.17
37.123.193.187,110,443,true,SJC,North America,San Jose,0,0.07
173.249.207.151,443,443,true,SJC,North America,San Jose,372,0.05
198.23.246.215,2053,443,true,SJC,North America,San Jose,377,0.05
23.94.240.130,15161,443,true,SJC,North America,San Jose,383,0.02
54.241.67.212,8443,443,true,SJC,North America,San Jose,372,0.02
13.57.235.239,80,443,true,SJC,North America,San Jose,382,0.00
13.56.210.252,80,443,true,SJC,North America,San Jose,399,0.00
204.236.186.113,80,443,true,SJC,North America,San Jose,407,0.00
198.23.254.51,443,443,true,SJC,North America,San Jose,382,0.00
13.56.139.126,80,443,true,SJC,North America,San Jose,427,0.00
54.151.68.167,443,443,true,SJC,North America,San Jose,439,0.00
13.87.188.67,443,443,true,SJC,North America,San Jose,373,0.00
54.183.53.183,80,443,true,SJC,North America,San Jose,413,0.00
192.9.159.65,443,0,true,SJC,North America,San Jose,376,0.00
50.18.133.190,80,443,true,SJC,North America,San Jose,368,0.00
192.210.231.33,18091,2053,true,SJC,North America,San Jose,391,0.00
54.153.96.188,80,443,true,SJC,North America,San Jose,387,0.00
54.219.130.94,80,443,true,SJC,North America,San Jose,382,0.00
207.2.120.16,443,443,true,SJC,North America,San Jose,384,0.00
52.53.247.43,80,443,true,SJC,North America,San Jose,368,0.00
54.177.87.111,80,443,true,SJC,North America,San Jose,373,0.00
