IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
168.138.66.11,443,443,true,YYZ,North America,Toronto,537,2.50
99.79.192.197,2053,443,true,YUL,North America,Montréal,526,0.09
168.138.71.220,443,443,true,YYZ,North America,Toronto,539,0.02
15.157.58.104,443,443,false,YUL,North America,Montréal,513,0.00
15.222.240.56,443,443,false,YUL,North America,Montréal,532,0.00
3.98.54.22,2053,443,true,YUL,North America,Montréal,504,0.00
35.183.163.195,443,443,true,YUL,North America,Montréal,513,0.00
99.79.192.197,8443,443,true,YUL,North America,Montréal,520,0.00
15.157.7.168,443,443,true,YUL,North America,Montréal,522,0.00
3.98.73.243,443,443,true,YUL,North America,Montréal,509,0.00
35.182.7.190,80,443,true,YUL,North America,Montréal,531,0.00
99.79.66.20,80,443,true,YUL,North America,Montréal,529,0.00
35.183.163.195,80,443,true,YUL,North America,Montréal,529,0.00
99.79.40.84,80,443,true,YUL,North America,Montréal,503,0.00
35.182.7.190,443,443,true,YUL,North America,Montréal,526,0.00
