IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.187.4,2095,2095,false,SIN,Asia Pacific,Singapore,252,8.11
8.219.142.191,2095,2095,false,SIN,Asia Pacific,Singapore,347,4.36
8.219.107.135,2095,2095,false,SIN,Asia Pacific,Singapore,251,3.31
47.243.42.219,2095,2095,false,HKG,Asia Pacific,Hong Kong,94,2.36
47.243.206.150,2095,2095,false,HKG,Asia Pacific,Hong Kong,94,1.93
47.236.169.164,2095,2095,false,SIN,Asia Pacific,Singapore,363,1.76
47.243.107.148,2095,2095,false,HKG,Asia Pacific,Hong Kong,79,1.72
8.210.146.108,2095,2095,false,HKG,Asia Pacific,Hong Kong,88,1.66
8.217.193.25,2095,2095,false,HKG,Asia Pacific,Hong Kong,92,1.57
8.222.208.38,2095,2095,false,SIN,Asia Pacific,Singapore,251,1.47
8.219.210.64,2095,2095,false,SIN,Asia Pacific,Singapore,352,1.44
8.217.49.34,2095,2095,false,HKG,Asia Pacific,Hong Kong,88,1.43
47.242.59.216,2095,2095,false,HKG,Asia Pacific,Hong Kong,89,1.42
47.237.84.173,2095,2095,false,SIN,Asia Pacific,Singapore,252,1.42
8.218.188.129,2095,2095,false,HKG,Asia Pacific,Hong Kong,95,1.41
47.237.94.140,2095,2095,false,SIN,Asia Pacific,Singapore,251,1.39
8.218.243.95,2095,2095,false,HKG,Asia Pacific,Hong Kong,95,1.36
8.222.183.242,2095,2095,false,SIN,Asia Pacific,Singapore,257,1.20
8.210.101.157,2095,2095,false,HKG,Asia Pacific,Hong Kong,105,1.19
8.218.181.189,2095,2095,false,HKG,Asia Pacific,Hong Kong,88,1.15
8.219.177.205,2095,2095,false,SIN,Asia Pacific,Singapore,333,1.05
8.219.0.162,2095,2095,false,SIN,Asia Pacific,Singapore,252,0.98
47.243.203.119,2095,2095,false,HKG,Asia Pacific,Hong Kong,97,0.93
8.217.164.10,2095,2095,false,HKG,Asia Pacific,Hong Kong,86,0.92
8.217.221.165,2095,2095,false,HKG,Asia Pacific,Hong Kong,90,0.89
8.210.66.190,2095,2095,false,HKG,Asia Pacific,Hong Kong,102,0.81
8.219.153.237,2095,2095,false,NRT,Asia Pacific,Tokyo,522,0.80
8.222.146.222,2095,2095,false,SIN,Asia Pacific,Singapore,256,0.79
8.219.100.168,2095,2095,false,SIN,Asia Pacific,Singapore,264,0.76
47.237.82.15,2095,2095,false,SIN,Asia Pacific,Singapore,241,0.71
47.242.176.237,2095,2095,false,HKG,Asia Pacific,Hong Kong,93,0.69
8.210.39.96,2095,2095,false,HKG,Asia Pacific,Hong Kong,98,0.62
8.210.156.6,2095,2095,false,HKG,Asia Pacific,Hong Kong,100,0.60
47.236.189.92,2095,2095,false,SIN,Asia Pacific,Singapore,340,0.59
8.210.119.11,2095,2095,false,HKG,Asia Pacific,Hong Kong,96,0.59
8.219.77.222,2095,2095,false,SIN,Asia Pacific,Singapore,268,0.50
47.236.10.182,2095,2095,false,SIN,Asia Pacific,Singapore,347,0.48
47.242.157.96,2095,2095,false,HKG,Asia Pacific,Hong Kong,100,0.45
8.222.156.242,2095,2095,false,SIN,Asia Pacific,Singapore,240,0.43
8.219.122.55,2095,2095,false,SIN,Asia Pacific,Singapore,265,0.37
47.237.86.185,2095,2095,false,SIN,Asia Pacific,Singapore,260,0.36
47.237.95.140,2095,2095,false,SIN,Asia Pacific,Singapore,260,0.35
8.219.67.133,2095,2095,false,SIN,Asia Pacific,Singapore,250,0.34
8.222.249.190,2095,2095,false,SIN,Asia Pacific,Singapore,252,0.30
47.76.178.146,2095,2095,false,HKG,Asia Pacific,Hong Kong,86,0.28
8.219.87.30,2095,2095,false,SIN,Asia Pacific,Singapore,252,0.27
47.236.149.107,2095,2095,false,SIN,Asia Pacific,Singapore,358,0.26
47.236.117.48,2095,2095,false,SIN,Asia Pacific,Singapore,360,0.24
8.222.165.117,2095,2095,false,SIN,Asia Pacific,Singapore,257,0.24
8.219.199.220,2095,2095,false,SIN,Asia Pacific,Singapore,358,0.22
8.219.193.202,2095,2095,false,SIN,Asia Pacific,Singapore,347,0.20
8.222.193.65,2095,2095,false,SIN,Asia Pacific,Singapore,253,0.20
8.219.229.190,2095,2095,false,SIN,Asia Pacific,Singapore,343,0.18
47.236.180.51,2095,2095,false,SIN,Asia Pacific,Singapore,347,0.10
158.101.98.60,2095,443,true,IAD,North America,Ashburn,504,0.00
47.236.145.85,2095,2095,false,SIN,Asia Pacific,Singapore,349,0.00
8.219.132.64,2095,2095,false,SIN,Asia Pacific,Singapore,335,0.00
8.219.209.14,2095,2095,false,SIN,Asia Pacific,Singapore,354,0.00
8.219.139.13,2095,2095,false,SIN,Asia Pacific,Singapore,348,0.00
